Function Name,Defined In,Called In
json_object_array_add,Unknown,config_manager.c
json_object_array_get_idx,Unknown,config_manager.c
json_object_array_length,Unknown,config_manager.c
json_object_get_boolean,Unknown,config_manager.c
json_object_get_double,Unknown,config_manager.c
json_object_get_int,Unknown,config_manager.c
json_object_get_string,Unknown,config_manager.c
json_object_is_type,Unknown,config_manager.c
json_object_new_array,Unknown,config_manager.c
json_object_new_boolean,Unknown,config_manager.c
json_object_new_double,Unknown,config_manager.c
json_object_new_int,Unknown,config_manager.c
json_object_new_object,Unknown,config_manager.c
json_object_new_string,Unknown,config_manager.c
json_object_object_add,Unknown,config_manager.c
json_object_object_get,Unknown,config_manager.c
json_object_object_get_ex,Unknown,config_manager.c
json_object_put,Unknown,config_manager.c
json_object_to_json_string_ext,Unknown,config_manager.c
json_tokener_parse,Unknown,config_manager.c
kernel,Unknown,ray_tracing2.c
light,Unknown,ray_tracing2 copy.c
linearly,Unknown,path_system.c
main,animation.c,"animation.c, animation copy.c, ray_tracing.c"
malloc,Unknown,"ray_tracing2.c, render_helper.c, ray_tracing.c, config_manager.c"
memcpy,Unknown,ray_tracing2.c
memset,Unknown,"ray_tracing2.c, ray_tracing.c, object_editor.c"
mkdir,Unknown,animation.c
mode,Unknown,animation copy.c
opacity,Unknown,config_manager.c
overpowering,Unknown,ray_tracing2.c
path,Unknown,path_system.c
perror,Unknown,config_manager.c
point,Unknown,ray_tracing2 copy.c
points,Unknown,"object_manager.h, path_system.c"
position,Unknown,"ray_tracing2.c, ray_tracing2.h, ray_tracing2 copy.h"
pow,Unknown,"ray_tracing2 copy.c, ray_tracing.c"
preset,Unknown,animation copy.h
printf,Unknown,"ray_tracing2.c, camera_editor.c, scene_editor.c, animation.c, ray_tracing.c, bezier_editor.c, object_editor.c, make_video.c, render_helper.c, sdl_menu.c, animation copy.c, path_system.c, config_manager.c"
qsort,Unknown,render_helper.c
rand,Unknown,ray_tracing.c
ray,Unknown,ray_tracing2 copy.c
return,Unknown,"ray_tracing2 copy.c, render_helper.c, object_manager.c, path_system.c"
rewind,Unknown,config_manager.c
scene,Unknown,ray_tracing2 copy.c
settings,Unknown,"animation.c, animation copy.c, animation.h"
sin,Unknown,"ray_tracing2.c, object_manager.c, ray_tracing.c, object_editor.c, ray_tracing2 copy.c"
sizeof,Unknown,"ray_tracing2.c, animation.c, ray_tracing.c, object_editor.c, make_video.c, render_helper.c, sdl_menu.c, config_manager.c"
snprintf,Unknown,"sdl_menu.c, animation.c, make_video.c"
sqrt,Unknown,"object_manager.c, ray_tracing.c, object_editor.c, ray_tracing2 copy.c, render_helper.c"
start,Unknown,config_manager.c
stat,Unknown,"animation.c, make_video.c"
states,Unknown,bezier_editor.h
strcat,Unknown,sdl_menu.c
strcmp,Unknown,"object_manager.c, animation.c, render_helper.c, animation copy.c, config_manager.c"
strcpy,Unknown,"object_manager.c, config_manager.c"
strlen,Unknown,"sdl_menu.c, render_helper.c"
strncpy,Unknown,config_manager.c
switch,Unknown,"sdl_menu.c, scene_editor.c, bezier_editor.c, object_editor.c"
system,Unknown,make_video.c
time,Unknown,animation copy.c
update,Unknown,animation copy.c
va_end,Unknown,sdl_menu.c
va_start,Unknown,sdl_menu.c
vertices,Unknown,object_manager.h
vsnprintf,Unknown,sdl_menu.c
waiting,Unknown,animation copy.c
while,Unknown,"ray_tracing2.c, scene_editor.c, animation.c, ray_tracing.c, ray_tracing2 copy.c, render_helper.c, sdl_menu.c, animation copy.c"
